0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:05:45 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:54:26 +0600] "GET /zab/login?screen=cacus&option=Customer+Master&menuname=cacus HTTP/1.1" 200 43553
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:54:26 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:54:26 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:54:26 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:54:26 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:54:27 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:14:12 +0600] "GET /zab/login?screen=*viewcrystal+customerprofile%283%3Bin%2Cst%2Cst%3B%40zid%2C%40cus%2C%40year%3Bxcus%3DDistributor+Code%2Cxyear%3DYear%3D%2Cxviewtype%3DReport+View%29&option=Customer+Profile+Report&menuname=opanalytics HTTP/1.1" 200 311061
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:14:13 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:14:13 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:14:13 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:14:13 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:11:14:13 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:48 +0600] "POST /zab/login HTTP/1.1" 200 22612
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:49 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:49 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:49 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:49 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:49 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:53 +0600] "POST /zab/login HTTP/1.1" 200 43561
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:53 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:53 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:53 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:53 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:53 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:55 +0600] "POST /zab/login HTTP/1.1" 200 44168
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:56 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:56 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:56 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:56 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:56 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:56 +0600] "POST /zab/login HTTP/1.1" 200 45349
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:57 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:57 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:57 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:57 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:57 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:12:59 +0600] "POST /zab/login HTTP/1.1" 200 24324
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:13:00 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:13:00 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:13:00 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:13:00 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:12:13:00 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
